mode,slide,title,scrollHeight,clientHeight,banner,scale,renderedBodyPx,renderedCodePx
default,1,"오늘의 미션",775,775,false,1,28.00,24.00
default,2,"이거… 너희도 만들 수 있어 · 완성 화면",775,775,false,1,28.00,24.00
default,3,"이거… 너희도 만들 수 있어 · 실시간 시연",775,775,false,1,28.00,24.00
default,4,"어떻게 가능할까? · 네 단계의 흐름",775,775,false,1,28.00,24.00
default,5,"어떻게 가능할까? · 한 동작을 세는 방법",775,775,false,1,28.00,24.00
default,6,"오늘 배울 것 · 네 가지 도구",775,775,false,1,28.00,24.00
default,7,"환경 설정하기 · 실습 준비와 설치",775,775,false,1,28.00,24.00
default,8,"환경 설정하기 · 가상환경",775,775,false,1,28.00,24.00
default,9,"환경 설정하기 · 권장 버전",775,775,false,1,28.00,24.00
default,10,"환경 설정하기 · 설치 확인",775,775,false,1,28.00,24.00
default,11,"환경 설정하기 · 웹캠 문제 해결",775,775,false,1,28.00,24.00
default,12,"웹캠 띄우기 · 첫 영상과 반복문",775,775,false,1,28.00,24.00
default,13,"웹캠 띄우기 · 기본 웹캠 코드",775,775,false,1,28.00,24.00
default,14,"웹캠 띄우기 · 좌우 반전",775,775,false,1,24.00,20.00
default,15,"웹캠 띄우기 · 글자 넣기",775,775,false,1,28.00,24.00
default,16,"웹캠 띄우기 · 메시지 코드 · 1",775,775,false,1,26.00,22.00
default,17,"웹캠 띄우기 · 메시지 코드 · 2",775,775,false,1,28.00,24.00
default,18,"웹캠 띄우기 · BGR 색상",775,775,false,1,28.00,24.00
default,19,"웹캠 띄우기 · 사각형과 그리는 순서",775,775,false,1,28.00,24.00
default,20,"웹캠 띄우기 · 도형 코드 · 1",775,775,false,1,26.00,22.00
default,21,"웹캠 띄우기 · 도형 코드 · 2",775,775,false,1,26.00,22.00
default,22,"웹캠 띄우기 · 한글과 반환값",775,775,false,1,28.00,24.00
default,23,"웹캠 띄우기 · 한글 출력 코드",775,775,false,1,24.00,20.00
default,24,"웹캠 띄우기 · 직접 해보기",775,775,false,1,28.00,24.00
default,25,"OpenCV란? · OpenCV의 역할",775,775,false,1,28.00,24.00
default,26,"OpenCV란? · 써 본 함수 세 가지",775,775,false,1,28.00,24.00
default,27,"관절 인식 · 관절 인식 화면",775,775,false,1,28.00,24.00
default,28,"관절 인식 · 핵심 네 줄",775,775,false,1,28.00,24.00
default,29,"관절 인식 · BGR과 RGB",775,775,false,1,28.00,24.00
default,30,"관절 인식 · 첫 관절 인식 코드 · 1",775,775,false,1,26.00,22.00
default,31,"관절 인식 · 첫 관절 인식 코드 · 2",775,775,false,1,28.00,24.00
default,32,"관절 인식 · 스타일과 초기 설정",775,775,false,1,28.00,24.00
default,33,"관절 인식 · 초기 설정 코드",775,775,false,1,28.00,24.00
default,34,"관절 인식 · 분석과 자원 정리",775,775,false,1,28.00,24.00
default,35,"관절 인식 · 관절 처리와 표시 · 1",775,775,false,1,26.00,22.00
default,36,"관절 인식 · 관절 처리와 표시 · 2",775,775,false,1,26.00,22.00
default,37,"관절 인식 · 관절 처리와 표시 · 3",775,775,false,1,27.00,23.00
default,38,"관절 인식 · 좌표 비율과 신뢰도",775,775,false,1,28.00,24.00
default,39,"33개 랜드마크 지도 · 33개 관절 지도",775,775,false,1,28.00,24.00
default,40,"33개 랜드마크 지도 · 번호 그룹 표",775,775,false,1,28.00,24.00
default,41,"33개 랜드마크 지도 · 오늘 쓸 여섯 관절",775,775,false,1,28.00,24.00
default,42,"33개 랜드마크 지도 · 지도 조작 안내",775,775,false,1,28.00,24.00
default,43,"33개 랜드마크 지도 · 랜드마크 지도 실험",775,775,false,1,28.00,24.00
default,44,"각도와 카운트 · 왜 각도인가",775,775,false,1,28.00,24.00
default,45,"각도와 카운트 · 세 점과 두 벡터",775,775,false,1,28.00,24.00
